"species","rival","plot","aic"
"PP","OT","14","870.049265094576"
"PP","OT","17","1085.98610911847"
"PP","OT","22","230.996662291613"
"DM","OT","2","680.830867177912"
"DM","OT","4","915.675542623375"
"DM","OT","8","358.195039473103"
"DM","OT","11","1294.05914798773"
"DM","OT","12","1597.63136952736"
"DM","OT","14","2333.92231974241"
"DM","OT","17","1572.50422636707"
"DM","OT","22","748.244547605024"
"OT","None","2","515.390005747525"
"OT","None","4","279.891765402815"
"OT","None","8","295.061271342938"
"OT","None","11","337.798304133679"
"OT","None","12","482.719871536648"
"OT","None","14","291.24342901032"
"OT","None","17","406.417094859859"
"OT","None","22","269.030223289245"
"DO","OT","2","260.677108388924"
"DO","OT","4","704.860513012631"
"DO","OT","8","1224.14205984768"
"DO","OT","11","463.677772075964"
"DO","OT","12","634.555853821133"
"DO","OT","14","190.022449015671"
"DO","OT","17","288.473558267441"
"DO","OT","22","error"
"PB","OT","2","1299.84643725761"
"PB","OT","4","585.098601244749"
"PB","OT","8","619.43733253968"
"PB","OT","11","439.848390374006"
"PB","OT","12","252.92724048815"
"PB","OT","14","202.837807925752"
"PB","OT","17","547.251746166467"
"PB","OT","22","1523.92467805842"
"PP","DO","2","1029.76139039551"
"PP","DO","4","1408.63804566833"
"PP","DO","8","1310.61583400775"
"PP","DO","11","1125.2492865811"
"PP","DO","12","1219.03639577441"
"PP","DO","14","870.515325261922"
"PP","DO","17","1086.31458372738"
"PP","DO","22","226.042011585655"
"DM","DO","2","683.362772926476"
"DM","DO","4","915.684074295903"
"DM","DO","8","358.064531503859"
"DM","DO","11","1291.77742412645"
"DM","DO","12","1593.36947896614"
"DM","DO","14","2333.92296563169"
"DM","DO","17","1588.99340372224"
"DM","DO","22","749.278993003265"
"OT","DO","2","507.716295676204"
"OT","DO","4","280.534923688612"
"OT","DO","8","296.889254619039"
"OT","DO","11","339.625701805474"
"OT","DO","12","484.517451253878"
"OT","DO","14","292.868343800135"
"OT","DO","17","406.348624690759"
"OT","DO","22","268.233632746749"
"DO","None","2","260.147179828297"
"DO","None","4","703.210365580407"
"DO","None","8","1222.14367068845"
"DO","None","11","462.622389436644"
"DO","None","12","634.559124867975"
"DO","None","14","193.328295065538"
